paper_id	paper_type	title	authors	session_name	session_chair_name	session_chair_email	location
VIS 2062	Full	 ProvTales: A Dataset for Key Narrative Extraction from Provenance Graphs	Qi Jiang, Zhentao Zheng, Ziyu Huang, Binyan Gao, Xueqian Zheng, Xuhui Ma, Ronghua Liang, Guodao Sun	Story time			Pre-recorded talk
VIS 1321	Full	 GeoNarrative: Transforming geospatial textual data into narrative storytelling visualization	Ruixian Ma, Biru Cao, Winston Yap, Jiaxin Gao, Wenzhe Peng, Takehiko Nagakura, Fábio Duarte, Paolo Santi, Carlo Ratti	Story time			Tianjin
VIS 1389	Full	 Counterbalance: A Declarative Tool for Privacy-Preserving Statistical Chart Authoring based on Differential Privacy	Xumeng Wang, Shuangcheng Jiao, Chris Bryan, Yining Wang	Story time			Tianjin
VIS 1467	Full	 QueerTravel: Visualizing Social Safety Enriched with Community Experiences to Support Travel Decisions	Başak Oral, Alexandru Telea, Evanthia Dimara	Story time			Paris
VIS 2214	Full	 Authoring Narrative Visualization in Motion: Visual Storytelling in Swimming Videos	Junhao Zhao, Romain Vuillemot, Petra Isenberg, Lijie Yao	Story time			Paris
VIS 1550	Full	 Mind the Badge: How Visualization Badges Impact Reading Visualizations	Valentin Edelsbrunner, Jinrui Wang, Min Chen, Pierre Dragicevic, Benjamin Bach	Story time			Paris
VIS 1458	Full	"Listening to the City, Seeing the Planet": Integrating Environmental Complaint Text and AlphaEarth for Multi-Scale Visual Analytics	Yunchao Wang, Jinghui Chu, Kaijun Yang, zhe chen, Gefei Zhang, Guodao Sun, Ronghua Liang	Story time			Pre-recorded talk
VIS 1313	Full	 Human-Guided Causal Knowledge Injection for Virtual Cells	Pengcheng Wang, Changjian Chen, Zhuo Tang, You Wu, Long Wang, Feng Yu, Kenli Li	What does it mean to live, anyway?			Tianjin
VIS 2085	Full	 Loom: Multi-Region Analysis of Spatial Transcriptomics with Local Neighborhoods and Global Trajectories	Siyuan Zhao, Md Nafiul Nipu, Hossein Fathollahian, Hao Chen, Ameen Salahudeen, Olga Karginova, G. Elisabeta Marai	What does it mean to live, anyway?			Boston
VIS 1269	Full	 LatentFlow: Visual Analytics for Latent Space Analysis in Molecular Graph Neural Networks	Shiyi Liu, Jiaqing Chen, Nicholas Hadler, Rostyslav Hnatyshyn, Michael Mahoney, Talita Perciano, John F. Hartwig, Gunther Weber, Ross Maciejewski	What does it mean to live, anyway?			Boston
TVCG.2026.3652905	Full	 LAMDA: Aiding Visual Exploration of Atomic Displacements in Molecular Dynamics Simulations	Rostyslav Hnatyshyn, Danny Perez, Gerik Scheuermann, Ross Maciejewski, Baldwin Nsonga	What does it mean to live, anyway?			Boston
TVCG.2026.3683429	Full	 Geranium: Multimodal Retrieval of Genomics Data Visualizations	Huyen N. Nguyen, Sehi L'Yi, Thomas C. Smits, Shanghua Gao, Marinka Zitnik, and Nils Gehlenborg	What does it mean to live, anyway?			Boston
VIS 1556	Full	 CellPrism: A Visual Analytics System for Exploring AI-Driven Virtual Cells in Drug Discovery	Chuhan Shi, Zijian Guo, Zelin Zang, Chengbo Zheng, Ding Ding, Rui Sheng	What does it mean to live, anyway?			Boston
TVCG.2025.3618914	Full	 Nanouniverse: Virtual Instancing of Structural Detail and Adaptive Shell Mapping	Ruwayda Alharbi, Ondřej Strnad, Markus Hadwiger and Ivan Viola	What does it mean to live, anyway?			Boston
VIS 1620	Full	 VeriLLMed: Visual Debugging of Medical Large Language Models with Knowledge Graphs	Yurui Xiang, Xingyi Mao, Rui Sheng, Zixin Chen, Zelin Zang, Yuyang Wu, Haipeng Zeng, Huamin Qu, Yushi Sun, Yanna Lin	Can we have a (real) doctor, please?			Boston
VIS 1603	Full	 HealthTale: A Patient-Centric Health Story Visualization Tool	Ryan Smith, Kyle Chin, Tamara Munzner	Can we have a (real) doctor, please?			Boston
